2.875000000000000000e+00,0.000000000000000000e+00
2.875000000000000000e+00,7.028502786441237493e-02
2.875000000000000000e+00,1.405700557288247499e-01
2.875000000000000000e+00,2.108550835932371248e-01
2.875000000000000000e+00,2.811401114576494997e-01
2.875000000000000000e+00,3.514251393220618747e-01
2.875000000000000000e+00,4.217101671864742496e-01
2.875000000000000000e+00,4.919951950508866245e-01
2.875000000000000000e+00,5.622802229152989995e-01
2.875000000000000000e+00,6.325652507797112634e-01
2.875000000000000000e+00,7.028502786441237493e-01
2.875000000000000000e+00,7.731353065085362353e-01
2.875000000000000000e+00,8.434203343729484992e-01
2.875000000000000000e+00,9.137053622373607631e-01
2.875000000000000000e+00,9.839903901017732490e-01
2.875000000000000000e+00,1.054275417966185735e+00
2.875000000000000000e+00,1.124560445830597999e+00
2.875000000000000000e+00,1.194845473695010263e+00
2.875000000000000000e+00,1.265130501559422527e+00
2.875000000000000000e+00,1.335415529423835235e+00
2.875000000000000000e+00,1.405700557288247499e+00
2.875000000000000000e+00,1.475985585152659763e+00
2.875000000000000000e+00,1.546270613017072471e+00
2.875000000000000000e+00,1.616555640881484734e+00
2.875000000000000000e+00,1.686840668745896998e+00
2.875000000000000000e+00,1.757125696610309262e+00
2.875000000000000000e+00,1.827410724474721526e+00
2.875000000000000000e+00,1.897695752339134234e+00
2.875000000000000000e+00,1.967980780203546498e+00
2.875000000000000000e+00,2.038265808067958762e+00
2.875000000000000000e+00,2.108550835932371470e+00
2.875000000000000000e+00,2.178835863796783734e+00
2.875000000000000000e+00,2.249120891661195998e+00
2.875000000000000000e+00,2.319405919525608262e+00
2.875000000000000000e+00,2.389690947390020526e+00
2.875000000000000000e+00,2.459975975254433234e+00
2.875000000000000000e+00,2.530261003118845053e+00
2.875000000000000000e+00,2.600546030983258206e+00
2.875000000000000000e+00,2.670831058847670469e+00
2.875000000000000000e+00,2.741116086712082733e+00
2.875000000000000000e+00,2.811401114576494997e+00
2.875000000000000000e+00,2.881686142440907261e+00
2.875000000000000000e+00,2.951971170305319525e+00
2.875000000000000000e+00,3.022256198169731789e+00
2.875000000000000000e+00,3.092541226034144941e+00
2.875000000000000000e+00,3.162826253898557205e+00
2.875000000000000000e+00,3.233111281762969469e+00
2.875000000000000000e+00,3.303396309627381733e+00
2.875000000000000000e+00,3.373681337491793997e+00
2.875000000000000000e+00,3.443966365356206261e+00
2.875000000000000000e+00,3.514251393220618525e+00
2.875000000000000000e+00,3.584536421085030788e+00
2.875000000000000000e+00,3.654821448949443052e+00
2.875000000000000000e+00,3.725106476813856204e+00
2.875000000000000000e+00,3.795391504678268468e+00
2.875000000000000000e+00,3.865676532542680732e+00
2.875000000000000000e+00,3.935961560407092996e+00
2.875000000000000000e+00,4.006246588271505260e+00
2.875000000000000000e+00,4.076531616135917524e+00
2.875000000000000000e+00,4.146816644000329788e+00
2.875000000000000000e+00,4.217101671864742940e+00
2.875000000000000000e+00,4.287386699729155204e+00
2.875000000000000000e+00,4.357671727593567468e+00
2.875000000000000000e+00,4.427956755457979732e+00
2.875000000000000000e+00,4.498241783322391996e+00
2.875000000000000000e+00,4.568526811186804260e+00
2.875000000000000000e+00,4.638811839051216523e+00
2.875000000000000000e+00,4.709096866915628787e+00
2.875000000000000000e+00,4.779381894780041051e+00
2.875000000000000000e+00,4.849666922644454203e+00
2.875000000000000000e+00,4.919951950508866467e+00
2.875000000000000000e+00,4.990236978373278731e+00
2.875000000000000000e+00,5.060522006237690107e+00
2.875000000000000000e+00,5.130807034102103259e+00
2.875000000000000000e+00,5.201092061966516411e+00
2.875000000000000000e+00,5.271377089830927787e+00
2.875000000000000000e+00,5.341662117695340939e+00
2.875000000000000000e+00,5.411947145559752315e+00
2.875000000000000000e+00,5.482232173424165467e+00
2.875000000000000000e+00,5.552517201288576842e+00
2.875000000000000000e+00,5.622802229152989995e+00
2.875000000000000000e+00,5.693087257017403147e+00
2.875000000000000000e+00,5.763372284881814522e+00
2.875000000000000000e+00,5.833657312746227674e+00
2.875000000000000000e+00,5.903942340610639050e+00
2.875000000000000000e+00,5.974227368475052202e+00
2.875000000000000000e+00,6.044512396339463578e+00
2.875000000000000000e+00,6.114797424203876730e+00
2.875000000000000000e+00,6.185082452068289882e+00
2.875000000000000000e+00,6.255367479932701258e+00
2.875000000000000000e+00,6.325652507797114410e+00
2.875000000000000000e+00,6.395937535661525786e+00
2.875000000000000000e+00,6.466222563525938938e+00
2.875000000000000000e+00,6.536507591390350314e+00
2.875000000000000000e+00,6.606792619254763466e+00
2.875000000000000000e+00,6.677077647119174841e+00
2.875000000000000000e+00,6.747362674983587993e+00
2.875000000000000000e+00,6.817647702848001146e+00
2.875000000000000000e+00,6.887932730712412521e+00
2.875000000000000000e+00,6.958217758576825673e+00
2.873674184626819006e+00,7.064072025414418476e+00
2.869694239940527858e+00,7.169926292252012168e+00
