0.074972	0.000000	0.000700
0.074983	0.003083	0.000700
0.074994	0.006165	0.000700
0.075005	0.009248	0.000700
0.075017	0.012331	0.000700
0.075028	0.015414	0.000700
0.075039	0.018496	0.000700
0.075051	0.021579	0.000700
0.075062	0.024662	0.000700
0.075074	0.027745	0.000700
0.075085	0.030827	0.000700
0.075097	0.033910	0.000700
0.075108	0.036993	0.000700
0.075120	0.040076	0.000700
0.075132	0.043158	0.000700
0.075144	0.046241	0.000700
0.075156	0.049324	0.000700
0.075168	0.052406	0.000700
0.075180	0.055489	0.000700
0.075192	0.058572	0.000700
0.075204	0.061655	0.000700
0.075216	0.064737	0.000700
0.075228	0.067820	0.000700
0.075241	0.070903	0.000700
0.075253	0.073986	0.000700
0.075265	0.077068	0.000700
0.075278	0.080151	0.000700
0.075291	0.083234	0.000700
0.075303	0.086317	0.000700
0.075316	0.089399	0.000700
0.075328	0.092482	0.000700
0.075341	0.095565	0.000700
0.075354	0.098648	0.000700
0.075367	0.101730	0.000700
0.075380	0.104813	0.000700
0.075393	0.107896	0.000700
0.075406	0.110978	0.000700
0.075419	0.114061	0.000700
0.075432	0.117144	0.000700
0.075446	0.120227	0.000700
0.075459	0.123309	0.000700
0.075472	0.126392	0.000700
0.075486	0.129475	0.000700
0.075499	0.132558	0.000700
0.075513	0.135640	0.000700
0.075526	0.138723	0.000700
0.075539	0.141806	0.000700
0.075553	0.144889	0.000700
0.075567	0.147971	0.000700
0.075581	0.151054	0.000700
0.075594	0.154137	0.000700
0.075608	0.157219	0.000700
0.075622	0.160302	0.000700
0.075636	0.163385	0.000700
0.075650	0.166468	0.000700
0.075664	0.169550	0.000700
0.075678	0.172633	0.000700
0.075692	0.175716	0.000700
0.075707	0.178799	0.000700
0.075721	0.181881	0.000700
0.075735	0.184964	0.000700
0.075749	0.188047	0.000700
0.075764	0.191130	0.000700
0.075778	0.194212	0.000700
0.075792	0.197295	0.000700
0.075807	0.200378	0.000700
0.075821	0.203460	0.000700
0.075835	0.206543	0.000700
0.075850	0.209626	0.000700
0.075864	0.212709	0.000700
0.075879	0.215791	0.000700
0.075893	0.218874	0.000700
0.075908	0.221957	0.000700
0.075923	0.225040	0.000700
0.075933	0.228122	0.000700
0.075869	0.231515	0.000700
0.075671	0.234908	0.000700
0.075970	0.238300	0.000700
0.075536	0.241693	0.000700
0.074975	0.245086	0.000700
0.074285	0.248479	0.000700
0.073463	0.251871	0.000700
0.072504	0.255264	0.000700
0.071405	0.258657	0.000700
0.070161	0.262049	0.000700
0.068765	0.265442	0.000700
0.067209	0.268835	0.000700
0.065484	0.272227	0.000700
0.063581	0.275620	0.000700
0.061485	0.279013	0.000700
0.059184	0.282406	0.000700
0.056808	0.285798	0.000700
0.054432	0.289191	0.000700
0.052059	0.292584	0.000700
0.049621	0.295976	0.000700
0.047516	0.299369	0.000700
0.045761	0.302762	0.000700
0.044314	0.306154	0.000700
0.043146	0.309547	0.000700
0.042236	0.312940	0.000700
0.041571	0.316333	0.000700
0.041142	0.319725	0.000700
0.040930	0.323118	0.000700
0.040912	0.325234	0.000700
0.041046	0.326511	0.000700
0.041617	0.329903	0.000700
0.042762	0.333296	0.000700
0.044432	0.336689	0.000700
0.045821	0.340081	0.000700
0.047166	0.343474	0.000700
0.048480	0.346867	0.000700
0.049767	0.350260	0.000700
0.051028	0.353652	0.000700
0.052264	0.357045	0.000700
0.053477	0.360438	0.000700
0.054667	0.363830	0.000700
0.055837	0.367223	0.000700
0.055644	0.370616	0.000700
0.056880	0.374008	0.000700
0.058099	0.377401	0.000700
0.059301	0.380794	0.000700
0.060487	0.384187	0.000700
0.061657	0.387579	0.000700
0.062812	0.390972	0.000700
0.063952	0.394365	0.000700
0.065077	0.397757	0.000700
0.066188	0.401150	0.000700
0.067285	0.404543	0.000700
0.068367	0.407935	0.000700
0.069436	0.411328	0.000700
0.070490	0.414721	0.000700
0.071442	0.418114	0.000700
0.072380	0.421506	0.000700
0.073308	0.424899	0.000700
0.074225	0.428292	0.000700
0.075133	0.431684	0.000700
0.076032	0.435077	0.000700
0.076922	0.438470	0.000700
0.077803	0.441862	0.000700
0.078675	0.445255	0.000700
0.079539	0.448648	0.000700
0.080395	0.452041	0.000700
0.081243	0.455433	0.000700
0.082083	0.458826	0.000700
0.082916	0.462219	0.000700
0.083742	0.465611	0.000700
0.084560	0.469004	0.000700
0.085372	0.472397	0.000700
0.086177	0.475789	0.000700
0.086976	0.479182	0.000700
