1.187722882040187222e-01,0.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.723699999999999832e+01,3.013090000000000146e+03,1.353099999999999969e+00,-9.079600000000000364e+02,-2.181829999999999927e+03,1.966600000000000037e+01,3.301699999999999857e+00,1.187500000000000000e+00,1.229900000000000091e+03,9.142400000000000526e-01,7.900800000000000267e+00,3.820999999999999952e-01,2.168400000000000105e+00,3.478699999999999903e+00,5.698999999999999622e-01
1.187722882040187222e-01,1.027773459159410851e-03,1.000141414141414220e+00,5.500000000000000000e+00,1.101010101010101031e-03,7.747474747474748400e-04,9.751919191919191121e+01,1.349494949494949525e+00,1.723458585858585579e+01,3.013055454545454722e+03,1.352927272727272756e+00,-9.080502020202020503e+02,-2.181904848484848571e+03,1.966601010101010161e+01,3.301670707070706978e+00,1.187501010101010168e+00,1.229892929292929466e+03,9.142324242424243463e-01,7.900655555555555765e+00,3.820999999999999952e-01,2.168396969696969823e+00,3.478663636363636069e+00,5.698999999999999622e-01
1.187722882040187222e-01,2.055546918318821702e-03,1.000282828282828218e+00,5.500000000000000000e+00,2.202020202020202062e-03,1.549494949494949680e-03,1.950383838383838224e+02,2.698989898989899050e+00,1.723217171717171681e+01,3.013020909090909299e+03,1.352754545454545321e+00,-9.081404040404040643e+02,-2.181979696969696761e+03,1.966602020202020285e+01,3.301641414141414099e+00,1.187502020202020114e+00,1.229885858585858614e+03,9.142248484848485290e-01,7.900511111111111262e+00,3.820999999999999952e-01,2.168393939393939540e+00,3.478627272727272679e+00,5.698999999999999622e-01
1.187722882040187222e-01,3.083320377478232337e-03,1.000424242424242438e+00,5.500000000000000000e+00,3.303030303030303309e-03,2.324242424242424412e-03,2.925575757575757052e+02,4.048484848484848797e+00,1.722975757575757427e+01,3.012986363636363876e+03,1.352581818181818107e+00,-9.082306060606060782e+02,-2.182054545454545405e+03,1.966603030303030408e+01,3.301612121212121220e+00,1.187503030303030283e+00,1.229878787878787989e+03,9.142172727272728228e-01,7.900366666666666760e+00,3.820999999999999952e-01,2.168390909090909258e+00,3.478590909090908845e+00,5.698999999999999622e-01
1.187722882040187222e-01,4.111093836637643405e-03,1.000565656565656658e+00,5.500000000000000000e+00,4.404040404040404123e-03,3.098989898989899360e-03,3.900767676767676448e+02,5.397979797979798100e+00,1.722734343434343174e+01,3.012951818181818453e+03,1.352409090909090894e+00,-9.083208080808080922e+02,-2.182129393939394049e+03,1.966604040404040532e+01,3.301582828282828341e+00,1.187504040404040451e+00,1.229871717171717364e+03,9.142096969696970055e-01,7.900222222222222257e+00,3.820999999999999952e-01,2.168387878787878975e+00,3.478554545454545455e+00,5.698999999999999622e-01
1.187722882040187222e-01,5.138867295797054473e-03,1.000707070707070656e+00,5.500000000000000000e+00,5.505050505050504937e-03,3.873737373737374309e-03,4.875959595959595845e+02,6.747474747474747403e+00,1.722492929292929276e+01,3.012917272727273030e+03,1.352236363636363681e+00,-9.084110101010101062e+02,-2.182204242424242238e+03,1.966605050505050656e+01,3.301553535353535018e+00,1.187505050505050397e+00,1.229864646464646512e+03,9.142021212121212992e-01,7.900077777777777754e+00,3.820999999999999952e-01,2.168384848484848693e+00,3.478518181818181620e+00,5.698999999999999622e-01
1.187722882040187222e-01,6.166640754956464673e-03,1.000848484848484876e+00,5.500000000000000000e+00,6.606060606060606619e-03,4.648484848484848823e-03,5.851151515151514104e+02,8.096969696969697594e+00,1.722251515151515022e+01,3.012882727272727607e+03,1.352063636363636245e+00,-9.085012121212121201e+02,-2.182279090909090883e+03,1.966606060606060780e+01,3.301524242424242139e+00,1.187506060606060565e+00,1.229857575757575887e+03,9.141945454545454819e-01,7.899933333333333252e+00,3.820999999999999952e-01,2.168381818181818410e+00,3.478481818181818230e+00,5.698999999999999622e-01
1.187722882040187222e-01,7.194414214115875741e-03,1.000989898989899096e+00,5.500000000000000000e+00,7.707070707070707433e-03,5.423232323232323772e-03,6.826343434343433501e+02,9.446464646464646009e+00,1.722010101010100769e+01,3.012848181818182184e+03,1.351890909090909032e+00,-9.085914141414141341e+02,-2.182353939393939527e+03,1.966607070707070903e+01,3.301494949494949260e+00,1.187507070707070733e+00,1.229850505050505035e+03,9.141869696969697756e-01,7.899788888888888749e+00,3.820999999999999952e-01,2.168378787878788128e+00,3.478445454545454396e+00,5.698999999999999622e-01
1.187722882040187222e-01,8.222187673275286809e-03,1.001131313131313094e+00,5.500000000000000000e+00,8.808080808080808247e-03,6.197979797979798720e-03,7.801535353535352897e+02,1.079595959595959620e+01,1.721768686868686871e+01,3.012813636363636306e+03,1.351718181818181819e+00,-9.086816161616161480e+02,-2.182428787878787716e+03,1.966608080808081027e+01,3.301465656565656381e+00,1.187508080808080901e+00,1.229843434343434410e+03,9.141793939393939583e-01,7.899644444444444247e+00,3.820999999999999952e-01,2.168375757575757845e+00,3.478409090909091006e+00,5.698999999999999622e-01
1.187722882040187222e-01,9.249961132434697877e-03,1.001272727272727314e+00,5.500000000000000000e+00,9.909090909090909061e-03,6.972727272727273669e-03,8.776727272727272293e+02,1.214545454545454639e+01,1.721527272727272617e+01,3.012779090909090883e+03,1.351545454545454605e+00,-9.087718181818181620e+02,-2.182503636363636360e+03,1.966609090909090796e+01,3.301436363636363502e+00,1.187509090909090848e+00,1.229836363636363785e+03,9.141718181818182520e-01,7.899500000000000632e+00,3.820999999999999952e-01,2.168372727272727563e+00,3.478372727272727172e+00,5.698999999999999622e-01
